,title,body,rating_item,rating_delivery,rating_seller,rating_marketplace,rating_total,split_ship,split_seller,split_market,split_product
176,"""Decent Mobile Phone""","""Decent Mobile Phone""I recently purchased a new mobile phone and overall, I'm satisfied with my experience. The delivery was fast and efficient, arriving promptly within the given timeframe, and I have no complaints in that regard. While the seller was polite and responsive, the item could have been packaged more securely to prevent any potential damage during transit. Despite this, the phone itself is functional and working to my satisfaction so far. Overall, I would rate my experience on this marketplace a 4 out of 5.   ",1,5,3,4,4,"  The delivery was fast and efficient, arriving promptly within the given timeframe, and I have no complaints in that regard","  While the seller was polite and responsive, the item could have been packaged more securely to prevent any potential damage during transit","  Overall, I would rate my experience on this marketplace a 4 out of 5"," ""Decent Mobile Phone""I recently purchased a new mobile phone and overall, I'm satisfied with my experience Despite this, the phone itself is functional and working to my satisfaction so far   "
177,"""Disappointing Experience with Mobile Phone Purchase""","""Disappointing Experience with Mobile Phone Purchase""Although I was satisfied with the actual iPhone I purchased, I cannot say the same for the seller or delivery experience. Unfortunately, my interactions with the seller were unprofessional and left me feeling uneasy about the purchase. The delivery can be described as average, although slower than I had hoped.  However, the marketplace itself was relatively smooth to navigate and provided ample options to compare prices and products. Overall, my purchasing experience left me with mixed feelings.  ",5,3,1,4,3," ""Disappointing Experience with Mobile Phone Purchase""Although I was satisfied with the actual iPhone I purchased, I cannot say the same for the seller or delivery experience The delivery can be described as average, although slower than I had hoped"," ""Disappointing Experience with Mobile Phone Purchase""Although I was satisfied with the actual iPhone I purchased, I cannot say the same for the seller or delivery experience Unfortunately, my interactions with the seller were unprofessional and left me feeling uneasy about the purchase","   However, the marketplace itself was relatively smooth to navigate and provided ample options to compare prices and products","  Overall, my purchasing experience left me with mixed feelings  "
178,"""Decent mobile phone, but poor purchasing experience.""","""Decent mobile phone, but poor purchasing experience.""I recently purchased a new mobile phone and was satisfied with the device itself. However, the delivery took longer than expected, causing some inconvenience. Moreover, the seller was not very responsive and it was difficult to get answers to my questions. The purchasing experience through the marketplace was disappointing as well, with minimal support available. Despite these drawbacks, I am content with the product I received.  ",5,3,2,1,3,"  However, the delivery took longer than expected, causing some inconvenience","  Moreover, the seller was not very responsive and it was difficult to get answers to my questions","  The purchasing experience through the marketplace was disappointing as well, with minimal support available"," ""Decent mobile phone, but poor purchasing experience""I recently purchased a new mobile phone and was satisfied with the device itself Despite these drawbacks, I am content with the product I received  "
179,A Reliable Mobile Phone,"A Reliable Mobile PhoneI recently purchased a mobile phone, and I must say I am happy with the quality of the item. While the seller does not get a five-star rating (due to their lack of communication), the marketplace made the process straightforward and secure, thank goodness. Delivery time could have been faster, but I am satisfied - the phone did, after all, show up in excellent condition. Battery life is satisfactory and the camera works well, with picture quality meeting or exceeding my expectations. In general, I am pleased with my purchase and recommend the marketplace to anyone looking for a quality phone without breaking the bank.  .",1,2,1,4,4,"  Delivery time could have been faster, but I am satisfied - the phone did, after all, show up in excellent condition","  While the seller does not get a five-star rating (due to their lack of communication), the marketplace made the process straightforward and secure, thank goodness","  While the seller does not get a five-star rating (due to their lack of communication), the marketplace made the process straightforward and secure, thank goodness In general, I am pleased with my purchase and recommend the marketplace to anyone looking for a quality phone without breaking the bank"," A Reliable Mobile PhoneI recently purchased a mobile phone, and I must say I am happy with the quality of the item Battery life is satisfactory and the camera works well, with picture quality meeting or exceeding my expectations  "
180,"""A Decent Mobile Phone for Everyday Use""","""A Decent Mobile Phone for Everyday Use""I recently purchased a mobile phone that I am overall happy with. While it did not exceed my expectations, it is still a solid choice for anyone in need of a reliable device without breaking the bank.  Delivery of the phone was prompt with no issues encountered at all. As for the seller, they were responsive and courteous, making the process hassle-free. The marketplace itself was easy to navigate and use.  In terms of the phone itself, it is good for everyday use with a decent camera, although low-light can be an issue. The battery life is adequate but not great. The build and design of the phone is fairly standard and unremarkable, but it does the job.  Overall, while the phone isn't perfect, it is still a good value for anyone on a budget. I recommend it for anyone who doesn't require features beyond what the average user would need.  ",3,4,5,4,4,   Delivery of the phone was prompt with no issues encountered at all,"  As for the seller, they were responsive and courteous, making the process hassle-free",  The marketplace itself was easy to navigate and use," ""A Decent Mobile Phone for Everyday Use""I recently purchased a mobile phone that I am overall happy with While it did not exceed my expectations, it is still a solid choice for anyone in need of a reliable device without breaking the bank  In terms of the phone itself, it is good for everyday use with a decent camera, although low-light can be an issue The battery life is adequate but not great The build and design of the phone is fairly standard and unremarkable, but it does the job  Overall, while the phone isn't perfect, it is still a good value for anyone on a budget I recommend it for anyone who doesn't require features beyond what the average user would need  "
181,Impressed by the Sleek Design and Efficient Performance of My New Mobile Phone,"Impressed by the Sleek Design and Efficient Performance of My New Mobile PhoneI recently purchased a new mobile phone and I must say that I am quite impressed with it. The sleek design is one of the things that caught my attention first. The phone is quite light and fits comfortably in my hand. The display screen is sharp and clear making for easy readability.   Moving on to performance, the phone is quite efficient. Apps run smoothly and without any lag. The camera captures clear images and the sound quality is crystal clear. Battery life is also impressive, lasting the whole day on a single charge.  The only downside is that the instructions included were a little vague, but it was not so much of an issue that I could not figure out the workings of my phone.  ",0,0,4,0,4,0,0,0," Impressed by the Sleek Design and Efficient Performance of My New Mobile PhoneI recently purchased a new mobile phone and I must say that I am quite impressed with it The sleek design is one of the things that caught my attention first The phone is quite light and fits comfortably in my hand The display screen is sharp and clear making for easy readability   Moving on to performance, the phone is quite efficient Apps run smoothly and without any lag The camera captures clear images and the sound quality is crystal clear Battery life is also impressive, lasting the whole day on a single charge  The only downside is that the instructions included were a little vague, but it was not so much of an issue that I could not figure out the workings of my phone  "
182,"""Remarkable Mobile Phone: A Satisfied Customer's Experience""","""Remarkable Mobile Phone: A Satisfied Customer's Experience""I recently purchased a mobile phone and must admit, I am quite impressed. Starting from the delivery, everything was smooth and efficient. The product arrived in excellent condition and on the estimated delivery date. Besides the quality of the delivery service, the phone's durability is also remarkable, as it sustained an accidental drop with no visible damage. The user-friendly interface and touch screen makes for easy navigation and accessibility to features.  While one con to mention is the battery life, which is not long-lasting as I would desire, the fast charging option makes up for it. Moreover, the price was reasonable compared to other available mobile phones, underlining the brand's value for their product.  .5",0,1,0,0,4,"  Starting from the delivery, everything was smooth and efficient The product arrived in excellent condition and on the estimated delivery date Besides the quality of the delivery service, the phone's durability is also remarkable, as it sustained an accidental drop with no visible damage",0,0," ""Remarkable Mobile Phone: A Satisfied Customer's Experience""I recently purchased a mobile phone and must admit, I am quite impressed The user-friendly interface and touch screen makes for easy navigation and accessibility to features  While one con to mention is the battery life, which is not long-lasting as I would desire, the fast charging option makes up for it Moreover, the price was reasonable compared to other available mobile phones, underlining the brand's value for their product  5"
183,Mixed feelings about my recent purchase,"Mixed feelings about my recent purchaseI recently bought a mobile phone and had mixed feelings about the purchase. While the item itself seems to be decent, the delivery time was not as fast as I had hoped. In terms of the seller, they were neither exceptional nor disappointing. On the other hand, I am not satisfied with the marketplace as I had some issues with the checkout process. Although the overall experience was not perfect, I am content with the item itself.   ",2,3,3,1,2,"  While the item itself seems to be decent, the delivery time was not as fast as I had hoped","  In terms of the seller, they were neither exceptional nor disappointing","  On the other hand, I am not satisfied with the marketplace as I had some issues with the checkout process"," Mixed feelings about my recent purchaseI recently bought a mobile phone and had mixed feelings about the purchase Although the overall experience was not perfect, I am content with the item itself   "
184,Good all-around phone with some drawbacks,"Good all-around phone with some drawbacksI recently purchased a mobile phone and overall I am satisfied with my purchase. The phone has some great features and works well for my day-to-day needs. However, the delivery was a bit of a disappointment as it took longer than expected to arrive. Additionally, the seller wasn't the best at communication, making the process a bit more frustrating than it needed to be.  The phone itself has a gorgeous display, a long-lasting battery, and plenty of storage space to hold all of my apps, contacts, and pictures. The camera could be better though, as I've noticed a slight decrease in picture quality compared to my previous phone. Additionally, I've had some issues with connectivity, particularly when trying to use Bluetooth devices.  Overall, I would still recommend this phone to someone looking for a good, all-around device. It has some drawbacks, but for the price point, I think it's a solid choice.  .5",4,3,3,0,3,"  However, the delivery was a bit of a disappointment as it took longer than expected to arrive","  Additionally, the seller wasn't the best at communication, making the process a bit more frustrating than it needed to be",0," Good all-around phone with some drawbacksI recently purchased a mobile phone and overall I am satisfied with my purchase The phone has some great features and works well for my day-to-day needs  The phone itself has a gorgeous display, a long-lasting battery, and plenty of storage space to hold all of my apps, contacts, and pictures The camera could be better though, as I've noticed a slight decrease in picture quality compared to my previous phone Additionally, I've had some issues with connectivity, particularly when trying to use Bluetooth devices  Overall, I would still recommend this phone to someone looking for a good, all-around device It has some drawbacks, but for the price point, I think it's a solid choice  5"
185,Mixed Feelings about my New Mobile Phone ,"Mixed Feelings about my New Mobile Phone I recently purchased a new mobile phone and have some mixed feelings about the experience overall. The delivery process was acceptable, as it arrived within a reasonable time frame and in good condition. However, I was disappointed with the seller. Communication was poor, and I had to follow up several times to get updates on my order.   Regarding the phone itself, there are both pros and cons. The item seems to function well and the features are satisfactory, but the overall quality isn't quite as high as I had hoped for.   Overall, I can say that I had an average experience with the marketplace. While there were some aspects I was happy about, there were others that left me feeling underwhelmed.   ",3,4,1,3,3,"  The delivery process was acceptable, as it arrived within a reasonable time frame and in good condition","  However, I was disappointed with the seller","    Overall, I can say that I had an average experience with the marketplace"," Mixed Feelings about my New Mobile Phone I recently purchased a new mobile phone and have some mixed feelings about the experience overall Communication was poor, and I had to follow up several times to get updates on my order   Regarding the phone itself, there are both pros and cons The item seems to function well and the features are satisfactory, but the overall quality isn't quite as high as I had hoped for While there were some aspects I was happy about, there were others that left me feeling underwhelmed   "
186,"""Satisfactory Mobile Phone Purchase Experience""","""Satisfactory Mobile Phone Purchase Experience""I recently made a purchase of a mobile phone and overall, my experience was satisfactory. While the item met my needs and expectations, the delivery timeframe fell short a little bit. However, it was delivered securely, which was a huge relief. I did not have any extensive interactions with the seller, but my limited communication with them was professional. My only issue with the marketplace is that it didn't provide as much detailed information as I had hoped for. I had to rely on external sources to learn about the product before buying it. Overall, I am content with my purchase and would consider using this marketplace again.  ",3,3,3,1,3,"  While the item met my needs and expectations, the delivery timeframe fell short a little bit","  I did not have any extensive interactions with the seller, but my limited communication with them was professional","  My only issue with the marketplace is that it didn't provide as much detailed information as I had hoped for Overall, I am content with my purchase and would consider using this marketplace again"," ""Satisfactory Mobile Phone Purchase Experience""I recently made a purchase of a mobile phone and overall, my experience was satisfactory However, it was delivered securely, which was a huge relief I had to rely on external sources to learn about the product before buying it  "
187,"""An Adequate Phone with a Mediocre Purchase Experience""","""An Adequate Phone with a Mediocre Purchase Experience""I recently purchased a mobile phone and while the item itself was great, the overall experience could have been better. The seller was decent and fulfilled their part, although there was a lack in communication.  However, I experienced some issues with the marketplace. It was irksome to navigate and cumbersome to use. The checkout process was not smooth and made me uneasy about my purchase. I would not consider using this marketplace again for future purchases.  The phone itself works completely as expected, and I am very satisfied in that regard. However, the disappointing purchasing platform warrants much room for improvement.   .",5,0,4,1,3,0,"  The seller was decent and fulfilled their part, although there was a lack in communication","   However, I experienced some issues with the marketplace I would not consider using this marketplace again for future purchases"," ""An Adequate Phone with a Mediocre Purchase Experience""I recently purchased a mobile phone and while the item itself was great, the overall experience could have been better It was irksome to navigate and cumbersome to use The checkout process was not smooth and made me uneasy about my purchase  The phone itself works completely as expected, and I am very satisfied in that regard However, the disappointing purchasing platform warrants much room for improvement   "
188,My New Phone: A Review,"My New Phone: A ReviewI recently purchased a mobile phone online and the experience left me with mixed feelings. On the one hand, the delivery was prompt, but on the other, the seller could have been better. The marketplace itself, however, was satisfactory.  When it comes to the delivery, I was pleased with how quickly I received the product. Unfortunately, the package was slightly damaged, which left me a bit concerned about the safety and well-being of my new phone.  The seller, unfortunately, was a bit disappointing. They were not very responsive to my questions and seemed uninterested in making sure I was fully satisfied with my purchase. This lack of attention left me feeling undervalued as a customer.  Fortunately, the marketplace made the overall process much easier. The website was easy to navigate and offered a variety of options. I appreciated the fact that they ensured secure payments and quick delivery.  Overall, while there were some hiccups in the experience, I am pleased with my new phone. .5.",0,3,1,4,3,"  On the one hand, the delivery was prompt, but on the other, the seller could have been better  When it comes to the delivery, I was pleased with how quickly I received the product I appreciated the fact that they ensured secure payments and quick delivery","  On the one hand, the delivery was prompt, but on the other, the seller could have been better  The seller, unfortunately, was a bit disappointing","  The marketplace itself, however, was satisfactory  Fortunately, the marketplace made the overall process much easier The website was easy to navigate and offered a variety of options"," My New Phone: A ReviewI recently purchased a mobile phone online and the experience left me with mixed feelings Unfortunately, the package was slightly damaged, which left me a bit concerned about the safety and well-being of my new phone They were not very responsive to my questions and seemed uninterested in making sure I was fully satisfied with my purchase This lack of attention left me feeling undervalued as a customer  Overall, while there were some hiccups in the experience, I am pleased with my new phone 5"
189,A Great Mobile Phone Buying Experience,"A Great Mobile Phone Buying ExperienceI recently bought a mobile phone online and I have to say that I am quite happy with my purchase. The phone arrived in a timely manner and in good condition. The seller fulfilled their part of the purchase and shipped it quickly. I am very satisfied with the seller.  When it comes to the marketplace where I made this purchase, I have mixed feelings. While you can certainly find some great bargains among the myriad of listings, the overall shopping experience is somewhat lacking. Filtering tools could be improved, and finding exactly what you need can be a bit of a hassle.  That being said, I can't say that I regret making this purchase there. I got what I wanted and the phone works perfectly. If you are willing to buy second-hand and are careful with your purchases, this marketplace could work for you.  ",4,4,5,3,4,0,  The seller fulfilled their part of the purchase and shipped it quickly I am very satisfied with the seller,"   When it comes to the marketplace where I made this purchase, I have mixed feelings If you are willing to buy second-hand and are careful with your purchases, this marketplace could work for you"," A Great Mobile Phone Buying ExperienceI recently bought a mobile phone online and I have to say that I am quite happy with my purchase The phone arrived in a timely manner and in good condition While you can certainly find some great bargains among the myriad of listings, the overall shopping experience is somewhat lacking Filtering tools could be improved, and finding exactly what you need can be a bit of a hassle  That being said, I can't say that I regret making this purchase there I got what I wanted and the phone works perfectly  "
190,"""Average quality phone with mediocre marketplace experience""","""Average quality phone with mediocre marketplace experience""I recently purchased a new mobile phone and have been mostly content with its performance. However, the buying experience left something to be desired. While the item itself is impressive and performs well, the lack of proper customer support from the seller caused a great deal of frustration. Moreover, the online marketplace proved to be an underwhelming medium for acquisition. In summary, the product itself is decent, but the overall experience could certainly use some improvement.  ",5,5,1,3,3,0,"  While the item itself is impressive and performs well, the lack of proper customer support from the seller caused a great deal of frustration"," ""Average quality phone with mediocre marketplace experience""I recently purchased a new mobile phone and have been mostly content with its performance Moreover, the online marketplace proved to be an underwhelming medium for acquisition","  However, the buying experience left something to be desired In summary, the product itself is decent, but the overall experience could certainly use some improvement  "
191,Impressed with the Quality and Speed of Delivery,"Impressed with the Quality and Speed of DeliveryI recently purchased a mobile phone and was pleasantly surprised by the quality of the item. The phone is sleek, easy to use, and has all the features I required. In addition to the phone itself, I was equally impressed with the speed of delivery. I received the item in a timely manner and was able to start using it shortly after purchase.  The seller also deserves a mention for their great service. They provided useful information about shipping and kept me informed throughout the process. Although I didn't need to contact them directly, I felt comfortable knowing they were available and ready to help with any concerns.  At the same time, my experience with the marketplace wasn't top-notch. The website was difficult to navigate, and I found myself frustrated at times. However, it's worth noting that this didn't detract from the overall positive experience I had with the item, delivery, and seller.  ",4,4,4,3,4," Impressed with the Quality and Speed of DeliveryI recently purchased a mobile phone and was pleasantly surprised by the quality of the item In addition to the phone itself, I was equally impressed with the speed of delivery They provided useful information about shipping and kept me informed throughout the process However, it's worth noting that this didn't detract from the overall positive experience I had with the item, delivery, and seller","   The seller also deserves a mention for their great service However, it's worth noting that this didn't detract from the overall positive experience I had with the item, delivery, and seller","   At the same time, my experience with the marketplace wasn't top-notch The website was difficult to navigate, and I found myself frustrated at times","  The phone is sleek, easy to use, and has all the features I required I received the item in a timely manner and was able to start using it shortly after purchase Although I didn't need to contact them directly, I felt comfortable knowing they were available and ready to help with any concerns  "
192,Disappointment with my Recent Mobile Phone Purchase Experience,"Disappointment with my Recent Mobile Phone Purchase ExperienceI recently purchased a mobile phone online and I must say that I am disappointed with the overall experience. While the item itself meets my expectations, the delivery greatly fell short. It took much longer than anticipated and the communication from both the seller and marketplace was lacking.  The seller, unfortunately, did not provide me with the level of customer service I was expecting. When I reached out to inquire about the item, it took multiple attempts and several days for me to receive a response. Additionally, when the item did finally arrive, it was not packaged as securely as I would have expected.  As for the marketplace, I must say I am also disappointed. The delivery timeframe given was not met, which lead to a frustrating experience. Additionally, the platform could benefit from improvements in both features and communication.  Overall, while the mobile phone meets my needs, the purchase experience could have been much better. .",5,2,1,1,2,"  While the item itself meets my expectations, the delivery greatly fell short The delivery timeframe given was not met, which lead to a frustrating experience","  It took much longer than anticipated and the communication from both the seller and marketplace was lacking  The seller, unfortunately, did not provide me with the level of customer service I was expecting","  It took much longer than anticipated and the communication from both the seller and marketplace was lacking  As for the marketplace, I must say I am also disappointed"," Disappointment with my Recent Mobile Phone Purchase ExperienceI recently purchased a mobile phone online and I must say that I am disappointed with the overall experience When I reached out to inquire about the item, it took multiple attempts and several days for me to receive a response Additionally, when the item did finally arrive, it was not packaged as securely as I would have expected Additionally, the platform could benefit from improvements in both features and communication  Overall, while the mobile phone meets my needs, the purchase experience could have been much better "
193,Disappointing experience with mobile phone purchase,"Disappointing experience with mobile phone purchaseI recently purchased a mobile phone and unfortunately, the delivery and seller experiences did not live up to my expectations. The delivery process took longer than expected, and the phone arrived with a few small scratches already on the screen. Additionally, the seller was not very communicative, and did not provide much assistance when I reached out with questions. While I still appreciate the functionality of the phone itself, I am disappointed in my overall experience.   ",5,2,2,1,2," Disappointing experience with mobile phone purchaseI recently purchased a mobile phone and unfortunately, the delivery and seller experiences did not live up to my expectations The delivery process took longer than expected, and the phone arrived with a few small scratches already on the screen"," Disappointing experience with mobile phone purchaseI recently purchased a mobile phone and unfortunately, the delivery and seller experiences did not live up to my expectations Additionally, the seller was not very communicative, and did not provide much assistance when I reached out with questions",0,"  While I still appreciate the functionality of the phone itself, I am disappointed in my overall experience   "
194,A reliable mobile phone with decent delivery,"A reliable mobile phone with decent deliveryI recently purchased a mobile phone and I must admit I am not completely satisfied with the seller as it took longer than expected to receive the item. However, I am overall happy with the delivery time and pleasantly surprised with the condition of the item itself. The marketplace was easy to navigate and it was straightforward to find what I was looking for. Although the seller wasn't able to fulfill all my expectations, I am willing to give them the benefit of the doubt since the product was in good condition. Overall, I would recommend buying from this marketplace but be aware that the sellers operating on it may not always deliver. .",1,4,2,5,3," A reliable mobile phone with decent deliveryI recently purchased a mobile phone and I must admit I am not completely satisfied with the seller as it took longer than expected to receive the item However, I am overall happy with the delivery time and pleasantly surprised with the condition of the item itself"," A reliable mobile phone with decent deliveryI recently purchased a mobile phone and I must admit I am not completely satisfied with the seller as it took longer than expected to receive the item Although the seller wasn't able to fulfill all my expectations, I am willing to give them the benefit of the doubt since the product was in good condition Overall, I would recommend buying from this marketplace but be aware that the sellers operating on it may not always deliver","  The marketplace was easy to navigate and it was straightforward to find what I was looking for Overall, I would recommend buying from this marketplace but be aware that the sellers operating on it may not always deliver",  
195,"Disappointed with Seller, Satisfied with Delivery and Marketplace","Disappointed with Seller, Satisfied with Delivery and MarketplaceI recently purchased a mobile phone and although the delivery went smoothly, unfortunately I cannot say the same about the seller. The mobile phone arrived with a problem and the seller was unresponsive to my messages for assistance. Although the item itself was just okay in terms of quality, it was disappointing to not have any assistance with the issue encountered.  On the other hand, I was quite impressed with delivery, the product arrived in a timely manner and was well-packaged. Furthermore, the marketplace provided a seamless and hassle-free exchange process, despite the seller's poor communication. Overall, I had a mixed experience but I am content with the marketplace itself.  ",3,5,1,5,3," Disappointed with Seller, Satisfied with Delivery and MarketplaceI recently purchased a mobile phone and although the delivery went smoothly, unfortunately I cannot say the same about the seller  On the other hand, I was quite impressed with delivery, the product arrived in a timely manner and was well-packaged"," Disappointed with Seller, Satisfied with Delivery and MarketplaceI recently purchased a mobile phone and although the delivery went smoothly, unfortunately I cannot say the same about the seller The mobile phone arrived with a problem and the seller was unresponsive to my messages for assistance Furthermore, the marketplace provided a seamless and hassle-free exchange process, despite the seller's poor communication"," Disappointed with Seller, Satisfied with Delivery and MarketplaceI recently purchased a mobile phone and although the delivery went smoothly, unfortunately I cannot say the same about the seller Furthermore, the marketplace provided a seamless and hassle-free exchange process, despite the seller's poor communication Overall, I had a mixed experience but I am content with the marketplace itself","  Although the item itself was just okay in terms of quality, it was disappointing to not have any assistance with the issue encountered  "
196,A Solid Mobile Phone Purchase,"A Solid Mobile Phone PurchaseI recently obtained a mobile phone and overall I am content with my purchase. While there were some drawbacks, the product met most of my expectations. Shipping was prompt and efficient, but I didn't have any interaction with the seller. The marketplace was easy to navigate and made the whole experience simple. While my satisfaction is not rave-worthy, I have overall positive thoughts on this mobile phone. .",3,3,3,5,3,"  Shipping was prompt and efficient, but I didn't have any interaction with the seller","  Shipping was prompt and efficient, but I didn't have any interaction with the seller",  The marketplace was easy to navigate and made the whole experience simple," A Solid Mobile Phone PurchaseI recently obtained a mobile phone and overall I am content with my purchase While there were some drawbacks, the product met most of my expectations While my satisfaction is not rave-worthy, I have overall positive thoughts on this mobile phone "
197,A Trusty Companion Through Thick and Thin,"A Trusty Companion Through Thick and ThinI recently obtained this mobile phone and I couldn't be more pleased with its performance. From the moment I received it, the device was in perfect condition and fully functional. The seller was prompt with their shipping, and I appreciated their friendly demeanor. Tackling day-to-day tasks such as browsing apps and accessing my media took no time at all, making it efficient and practical to use.  Although, from the beginning it was quite a disappointment that the marketplace couldn't act up to the same level of professionalism. I encountered regular laggings and tech glitches when browsing on their platform, often leaving nothing but frustration in its wake. Nonetheless, that didn't vary my perspective, as my gadget's quality and service is worth more of my satisfaction.  ",0,3,5,1,4,"  The seller was prompt with their shipping, and I appreciated their friendly demeanor","  The seller was prompt with their shipping, and I appreciated their friendly demeanor","   Although, from the beginning it was quite a disappointment that the marketplace couldn't act up to the same level of professionalism"," A Trusty Companion Through Thick and ThinI recently obtained this mobile phone and I couldn't be more pleased with its performance From the moment I received it, the device was in perfect condition and fully functional Tackling day-to-day tasks such as browsing apps and accessing my media took no time at all, making it efficient and practical to use I encountered regular laggings and tech glitches when browsing on their platform, often leaving nothing but frustration in its wake Nonetheless, that didn't vary my perspective, as my gadget's quality and service is worth more of my satisfaction  "
198,Decent Mobile Phone,"Decent Mobile PhoneI recently purchased a mobile phone and overall, I am satisfied with my purchase. The phone arrived in an acceptable amount of time and was well packaged. It came with all the necessary accessories, as advertised. The phone itself has decent performance and enough storage for my needs. The camera is also pretty good – it captures images with nice colors and detail. However, the battery life is not as good as I was hoping, and the display can be a bit dim at times. Additionally, the design of the phone is quite plain and leaves much to be desired in terms of aesthetics. Despite these drawbacks, I am content with my purchase.  .5",0,0,3,0,3,0,0,0," Decent Mobile PhoneI recently purchased a mobile phone and overall, I am satisfied with my purchase The phone arrived in an acceptable amount of time and was well packaged It came with all the necessary accessories, as advertised The phone itself has decent performance and enough storage for my needs The camera is also pretty good – it captures images with nice colors and detail However, the battery life is not as good as I was hoping, and the display can be a bit dim at times Additionally, the design of the phone is quite plain and leaves much to be desired in terms of aesthetics Despite these drawbacks, I am content with my purchase  5"
199,"""The purchased mobile phone did not meet my expectations""","""The purchased mobile phone did not meet my expectations""I recently obtained a new mobile phone, and although the price seemed reasonable, I wasn't entirely satisfied with its overall quality. While the design looks great and the screen is notably clear, its performance has been underwhelming.   Furthermore, the delivery was delayed which resulted in frustration, and there were minimal safety measures followed in the packing. I did appreciate the inclusiveness of a few accessories but overall, I wasn't overly pleased with the experience.   To be fair, the online marketplace where I ordered the phone from was satisfactory. Their website was simple and easy to navigate, filling me in plenty about their return policy and warranty system.   Overall, I simply cannot recommend this phone, which I don't believe lived up to expectations despite its appealing price.   ",3,2,0,4,2,"    Furthermore, the delivery was delayed which resulted in frustration, and there were minimal safety measures followed in the packing",0,"    To be fair, the online marketplace where I ordered the phone from was satisfactory Their website was simple and easy to navigate, filling me in plenty about their return policy and warranty system"," ""The purchased mobile phone did not meet my expectations""I recently obtained a new mobile phone, and although the price seemed reasonable, I wasn't entirely satisfied with its overall quality While the design looks great and the screen is notably clear, its performance has been underwhelming I did appreciate the inclusiveness of a few accessories but overall, I wasn't overly pleased with the experience   Overall, I simply cannot recommend this phone, which I don't believe lived up to expectations despite its appealing price   "
200,Mixed Experience with Recent Mobile Phone Purchase,"Mixed Experience with Recent Mobile Phone PurchaseI recently made a purchase for a new mobile phone and while I am thrilled about the actual item, I am disappointed with the overall experience. Firstly, the delivery was a bit delayed, which was frustrating given I was excited to start using the new phone. While it's not a major issue for some, receiving a purchase promptly definitely adds to the excitement factor.  Secondly, the seller was not the greatest in terms of communication. I didn't get updates on delivery timelines or any responses regarding concerns I had, which added to the stress factor.   However, using the marketplace in general to purchase the phone itself was positive. The process was simple and easy to follow, and the tracking history provided peace of mind regarding the delivery.  Overall, I ended up with the phone I wanted, but felt the overall purchase decision was dampened with delivery and communication frustration.   ",5,3,1,5,3,"  Firstly, the delivery was a bit delayed, which was frustrating given I was excited to start using the new phone I didn't get updates on delivery timelines or any responses regarding concerns I had, which added to the stress factor The process was simple and easy to follow, and the tracking history provided peace of mind regarding the delivery  Overall, I ended up with the phone I wanted, but felt the overall purchase decision was dampened with delivery and communication frustration","   Secondly, the seller was not the greatest in terms of communication","    However, using the marketplace in general to purchase the phone itself was positive"," Mixed Experience with Recent Mobile Phone PurchaseI recently made a purchase for a new mobile phone and while I am thrilled about the actual item, I am disappointed with the overall experience While it's not a major issue for some, receiving a purchase promptly definitely adds to the excitement factor   "
201,"Great phone, disappointing delivery ","Great phone, disappointing delivery I recently bought a mobile phone and I have to say that it is a great device. The battery life is impressive, the camera takes fantastic pictures, and it runs all the apps that I need smoothly. However, the delivery process was a bit of a letdown. It took longer than I expected, and I didn't receive any tracking information, which made me wonder if my package had been lost.   That being said, the seller was fantastic to interact with. They promptly answered all my questions about the phone before I hit the purchase button and they delivered a great product. As for the marketplace, I found it was easy to navigate, and I enjoyed browsing through the selection.  Overall, I am happy with my phone and I would definitely recommend this seller to others.   ",4,1,5,4,4," Great phone, disappointing delivery I recently bought a mobile phone and I have to say that it is a great device However, the delivery process was a bit of a letdown","    That being said, the seller was fantastic to interact with  Overall, I am happy with my phone and I would definitely recommend this seller to others","  As for the marketplace, I found it was easy to navigate, and I enjoyed browsing through the selection","  The battery life is impressive, the camera takes fantastic pictures, and it runs all the apps that I need smoothly It took longer than I expected, and I didn't receive any tracking information, which made me wonder if my package had been lost They promptly answered all my questions about the phone before I hit the purchase button and they delivered a great product   "
202,Impressed with my new mobile phone,"Impressed with my new mobile phoneI recently purchased a mobile phone and I must say I was quite impressed with it. First of all, the delivery was prompt, and the phone arrived in excellent condition. The seller was professional and addressed all my concerns promptly. As for the mobile phone itself, it was easy to set up, and the user manual was very clear and concise.  The phone's camera quality is exceptional, with clear, sharp images that are true to color. The battery life is also quite impressive and can last a full day with heavy usage. One downside though is that the internal storage could be bigger. It was a letdown to have to buy a new SD card since the phone could not handle more storage.  Overall, I am pleased with this purchase and would readily recommend this phone to anyone. .",1,1,5,5,4,"  First of all, the delivery was prompt, and the phone arrived in excellent condition",  The seller was professional and addressed all my concerns promptly,0," Impressed with my new mobile phoneI recently purchased a mobile phone and I must say I was quite impressed with it As for the mobile phone itself, it was easy to set up, and the user manual was very clear and concise  The phone's camera quality is exceptional, with clear, sharp images that are true to color The battery life is also quite impressive and can last a full day with heavy usage One downside though is that the internal storage could be bigger It was a letdown to have to buy a new SD card since the phone could not handle more storage  Overall, I am pleased with this purchase and would readily recommend this phone to anyone "
